Pelaaja,Joukkue,O,M,S,P,Min
Helén Onni,TPS,4,3,2,5,357
Lehtisalo Otto,SalPa,4,3,1,4,272
Kallio Elias,KäPa,3,2,1,3,270
Huovila Vilho,FC Lahti,4,2,1,3,223
Mohammed Nasiru,EIF,4,2,1,3,359
Dahlfors Oscar,TPS,3,2,0,2,184
Pippola Tuomas,TPS,3,2,0,2,270
Pulkkinen Mikael,KäPa,3,2,0,2,180
Pietsalo Roni,EIF,4,2,0,2,360
Turunen Miro,Jippo,4,2,0,2,263
Hänninen Onni,SJK Akatemia,3,1,2,3,161
Noori Hadi,HJK Klubi 04,2,1,1,2,156
Ojanen Justus,SJK Akatemia,3,1,1,2,253
Pihlaja Oskar,Jippo,4,1,1,2,330
Bojang Momodou,SJK Akatemia,1,1,0,1,74
Huhtala Roope,Jippo,2,1,0,1,90
Hyppönen Aapo,SJK Akatemia,2,1,0,1,59
Kajanoja Karlo,HJK Klubi 04,2,1,0,1,87
Lindholm Aaron,FC Lahti,2,1,0,1,43
Manneh Foday,KäPa,2,1,0,1,71
Ahadi Mosawer,JäPS,3,1,0,1,225
Ahola Ville,JäPS,3,1,0,1,240
Cukici Denis,KäPa,3,1,0,1,236
Hyvönen Marlo,HJK Klubi 04,3,1,0,1,176
Kikuchi Yoshiaki,Jippo,3,1,0,1,269
Mero Toivo,HJK Klubi 04,3,1,0,1,270
Pikkuhookana Jasper,PK-35,3,1,0,1,108
Venäläinen Eetu,Jippo,3,1,0,1,60
Forss Lassi,Jippo,4,1,0,1,336
Harjanne Rasmus,TPS,4,1,0,1,296
Kaijasilta Noah,SalPa,4,1,0,1,264
Karkulowski Tobias,FC Lahti,4,1,0,1,360
Karlsson Jesper,EIF,4,1,0,1,360
Meura Joonas,SalPa,4,1,0,1,360
Oteng Eric,FC Lahti,4,1,0,1,260
Salo Julius,JäPS,4,1,0,1,253
Boström Aapo,TPS,4,0,2,2,360
Gottberg Jakob,EIF,4,0,2,2,360
Tuominen Eino,HJK Klubi 04,1,0,1,1,16
Nylund Antton,HJK Klubi 04,2,0,1,1,110
Stenius Santeri,EIF,2,0,1,1,180
Forsman Pasi,Jippo,3,0,1,1,225
Herronen Samu,KäPa,3,0,1,1,135
Ikonen Lasse,TPS,3,0,1,1,270
Leinonen Niklas,KäPa,3,0,1,1,178
Lyyra Aleksi,SJK Akatemia,3,0,1,1,225
Söderlund Impton,JäPS,3,0,1,1,96
Babiker Asaad,FC Lahti,4,0,1,1,317
Rajamäki Nino,TPS,4,0,1,1,235
Sainio Aleksi,JäPS,4,0,1,1,216
Sid Robin,EIF,4,0,1,1,300
Björklund August,EIF,1,0,0,0,67
Bouajila Salem,HJK Klubi 04,1,0,0,0,7
Collin Tuomas,KäPa,1,0,0,0,9
Grönlund Eetu,HJK Klubi 04,1,0,0,0,63
Harju Niklas,TPS,1,0,0,0,90
Holopainen Justus,JäPS,1,0,0,0,45
Hyytinen Elias,SJK Akatemia,1,0,0,0,90
Häggström Oscar,TPS,1,0,0,0,20
Karttila Ami,SalPa,1,0,0,0,45
Kauppila Miika,TPS,1,0,0,0,70
